11,自然语言处理工程师,经验不限,硕士及以上,天使轮,百炼智能,"移动互联网,人工智能",北京,20k-40k,5149569,"团队技术强,发展迅速,氛围好,待遇优厚",朝阳区,"NLP,数据挖掘",岗位职责1、负责建设百炼自然语言处理工具和系统，为C端和B端产品提供一流的自然语言处理和语义理解能力；2、利用深度学习技术（GAN等）开发自然语言文本生成技术和系统；3、从自然语言处理的角度为百炼产品和业务发现新的机会点，并付诸实施；岗位要求1、精通自然语言处理的相关算法及实现原理，有相关实际系统/模块的研发经验；2、精通数据挖掘理论和算法，对于聚类、分类、预测、协同过滤等技术有深入的理解和实际的应用；3、深刻理解深度学习相关技术进展和在实际中的价值，包括但不局限于自然语言处理领域；4、有较强工程实现和优化能力，尤其是系统架构层面有深入的理解；5、有自然语言处理相关工作经验，211或985院校毕业、统招硕士以上学历，博士优先；
12,NLP算法工程师/专家/研究员,经验3-5年,本科及以上,上市公司,美团点评,"移动互联网,O2O",北京,35k-45k,5199130,"平台大,大牛团队",朝阳区,算法,
13,​自然语言算法工程师,经验1年以下,硕士及以上,未融资,广东立腾科技网络有限公司,移动互联网,珠海,5k-10k,4981653,"语言处理,算法,工程师",香洲区,算法,岗位职责1.利用数据挖掘，机器学习相关算法，解决核心业务需求2.基于海量数据，挖掘信息，建立模型，并将机器学习前沿技术应用于人工智能产品中3.设计并提供机器学习服务，应用于线上产品功能职位要求1.计算机，数学，统计，模式识别或相关专业硕士及以上学历2.熟悉机器学习算法原理，如：随机森林，决策树，逻辑回归，SVM，聚类，NLP等；在深度学习方面有过研究的优先考虑3.对计算机数据结构有初步了解，熟悉至少一门编程语言(包括但不限于C/C++/Python/Matlab)4.能熟练阅读中/英文机器学习领域的相关文献5.良好的抗压能力和团队精神
14,自然语言处理工程师,经验1-3年,本科及以上,上市公司,腾讯,"移动互联网 ,游戏",深圳,20k-40k,3756302,"大公司平台,好学习发展,行业领先,全面福利",南山区,机器学习,【岗位职责】1、利用自然语言处理技术和机器学习算法对文本数据进行挖掘分析； 2、基于机器学习和自然语言处理技术，研发客服聊天机器人解决方案；【岗位要求】1、全日制本科以上学历，2年以上自然语言处理相关研发经验；2、熟练使用Python，具备较强的编码能力，扎实的数据结构和算法功底；3、熟悉机器学习的基本算法与概念，有Tensorflow、Caffe等深度学习库使用经验者优先；4、有聊天机器人、文本分类聚类、知识图谱相关项目实际工作经验优先；5、良好的团队合作精神，较强的沟通能力。
15,自然语言处理研发工程师,经验5-10年,本科及以上,不需要融资,人民在线,"数据服务,移动互联网",北京,25k-40k,4737698,"技术大牛,平台广,空间大,技术氛围好",朝阳区,NLP,"岗位职责：1.负责中文词法分析、句法分析、语义分析等NLP相关算法的实现和研究工作。2.应用NLP技术改进搜索质量、利用数据挖掘与机器学习算法提升数据质量。3.为语义分析平台、知识库建设等项目提供相应的技术支持。4.负责NLP前沿问题的研究，结合未来实际应用场景，提供技术解决方案。任职要求：1.计算机及相关专业本科或以上学历2.精通数据结构与算法设计。3.熟练掌握C++/Java语言，熟悉Python、R等脚本语言和统计框架的优先。4.熟悉自然语言处理/信息检索/机器翻译/机器学习等任一领域基础理论和方法，有相关研究或项目经验者优先。5.需要有良好的逻辑思维能力，优秀的分析问题和解决问题的能力，以及很强的学习能力。6.在一些顶级国际会议（ACL, EMNLP, ICML, KDD, AAAI...）上发过论文者优先。"
16,自然语言处理算法,经验3-5年,本科及以上,上市公司,阿里巴巴集团-中台,"移动互联网,电子商务",北京,30k-60k,5567748,"股票激励,年终奖丰厚,大牛指导",朝阳区,"Java,Python,机器学习,算法",岗位职责：方向1: 基于阿里小蜜对话系统，利用深度学习和已有NLP技术(相似度计算)进行各个算法组件的研发，提高对话系统的准确率；方向2: 利用聚类、分类和语义分析等技术，对用户的意图进行精准识别和对用户的情感进行分析，提高意图识别能力；方向3: 构建相关知识图谱，并能有效利用知识库中知识进行专业业务问答。岗位要求：1. 具备扎实的算法基础和机器学习的基本原理，具有较扎实的数学基础；2. 精通自然语言处理的相关方法，如：LDA、word2vec、LSTM和CNN模型等，并有应用经验；3. 精通JAVA、C++和python中的一种或以上语言，熟悉shell等脚本语言优先；4. 社招要求在相关领域有3年或以上相关工作经验；5. 计算机及相关专业硕士及以上学历；6. 有对话系统开发经验者优先。
17,NPL自然语言处理开发工程师,经验5-10年,硕士及以上,A轮,优乐学科技,"移动互联网,教育",深圳,20k-40k,5807454,五险一金 扁平管理 大厂团队,南山区,"教育,移动互联网","岗位职责：1. 负责K12教育领域自然语言处理基础技术的研发，包括分词，词性标注，句法分析，实体识别，关系抽取，并且完成平台化和服务化的建设；2. 自然语言基础算法研发，包括但不限于NER、意图理解、情感分析等方向；3. 负责K12教育领域领域自然语言处理应用技术的研发，包括自动问答，文本生成，文本摘要，自动写作，推动自然语言处理技术在搜索中在应用4. 基于ML/NLP技术, 研发智能聊天Bot及NLP相关产品解决方案;5. 关注行业前沿技术，并对产品提出改进建议，对现有技术方案进行演进任职要求：1. 自然语言或机器学习相关方向硕士或博士；2. 熟悉NLP、ML/DL等常用算法，熟悉NLP领域当前热点和前沿技术，对NLP有完整的、系统的认识，在自然语言处理某个方向上有过深入研究；3. 有相关项目或实习经历经验，包含但不仅限于：智能问答、情感分析、信息抽取、知识图谱、机器学习、自动摘要等；4. 熟练掌握C/C++编程语言；熟练使用Python、Shell等脚本语言，有Linux系统使用经验；5. 良好的团队合作精神，较强的沟通能力；6. 优秀的分析和解决问题的能力，对挑战难题充满激情。7. 熟悉LearningToRank技术，有搜索、推荐应用相关经验者优先（Ranking）8. 有新词发现、命名实体识别、句法分析、语义分析、情感分析、文本摘要、主题发现、文本相似度等经验者优先9. 精通机器学习/深度学习"
18,NLP方向的算法工程师,经验3-5年,本科及以上,上市公司,影谱科技,"文化娱乐,广告营销",北京,30k-50k,5754865,"七险一金,完善福利体系,领导nice,",东城区,"人工智能,语音识别,算法,NLP",工作职责：1、负责自然语言处理（NLP）相关项目的研发和优化 2、负责NLP相关算法的研究、改进和应用任职资格：1、计算机及相关专业本科及以上学历，3年以上相关工作经验 ；2、至少精通C/C++，Python一种语言，有参与中大型项目的经历 ；3、具有自然语言处理（NLP）开发经验，包括但不限于分词，词性标注、文本分类聚类、实体识别、关键词抽取、热词发现、文本纠错、情感分析、语言模型、机器翻译、问答系统、自动摘要、知识推理等； 4、有较强抗压能力，责任心强，具有良好的沟通能力和团队合作精神 ；5、有句法分析、对话管理、自动摘要、知识图谱相关工作经验者优先；
19,NLP算法工程师,经验不限,本科及以上,C轮,字节跳动,"移动互联网,数据服务",北京,20k-40k,5696085,"弹性工作,免费三餐,租房补贴,休闲下午茶",东城区,算法,
20,资深NLP研发工程师,经验3-5年,本科及以上,A轮,标贝科技,"移动互联网,数据服务",北京,20k-30k,5579592,年底双薪 弹性工作 七险一金 绩效奖金,海淀区,"大数据,人工智能,机器学习,深度学习,NLP","岗位职责：1. 自然语言处理及语义理解等相关技术研发；2. 多语种文本处理技术研发；岗位要求：1. NLP、机器学习、计算机等相关专业；2. 精通NLP领域的相关技术，对数据结构和算法设计有深刻的理解；3. 熟练掌握C/C＋＋ 和脚本语言编程(如Shell, Python或Perl等)；4. 优秀的分析问题和解决问题能力，对解决具有挑战性的问题充满激情；5. 具有良好的沟通能力和团队合作精神；招聘人数：若干"
